City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,24.97,75,0,2.49,PN,1739002892
1,west island,-12.1568,96.8225,29.99,74,75,9.26,CC,1739002894
2,manokwari,-0.8667,134.0833,24.25,93,100,3.01,ID,1739002895
3,edinburgh of the seven seas,-37.0676,-12.3116,15.91,73,100,7.53,SH,1739002896
4,port shepstone,-30.7414,30.455,25.68,79,91,6.69,ZA,1739002897
5,kingston,17.997,-76.7936,24.53,69,20,3.6,JM,1739002652
6,belmonte,-15.8631,-38.8828,23.64,87,99,1.79,BR,1739002900
7,wanganui,-39.9333,175.05,16.88,94,0,1.33,NZ,1739002901
8,marion,39.7684,-86.1555,1.27,69,100,3.6,US,1739002902
9,ushuaia,-54.8,-68.3,2.02,95,100,2.03,AR,1739002605
10,jamestown,42.097,-79.2353,-11.91,100,0,0.0,US,1739002782
11,longyearbyen,78.2186,15.6401,-3.09,80,100,10.8,SJ,1739002906
12,port-aux-francais,-49.35,70.2167,5.97,89,85,11.25,TF,1739002907
13,blackmans bay,-43.0167,147.3167,14.85,61,99,0.89,AU,1739002908
14,st. john's,47.5649,-52.7093,0.08,92,100,4.12,CA,1739002910
15,naliya,23.2667,68.8333,29.66,13,100,3.07,IN,1739002911
16,ilulissat,69.2167,-51.1,-19.99,54,1,6.69,GL,1739002913
17,isafjordur,66.0755,-23.124,-3.24,90,100,4.49,IS,1739002914
18,invercargill,-46.4,168.35,17.05,80,98,1.63,NZ,1739002916
19,thompson,55.7435,-97.8558,-25.91,84,0,1.54,CA,1739002917
20,chonchi,-42.6128,-73.8092,8.95,97,67,1.18,CL,1739002918
21,bilibino,68.0546,166.4372,-43.96,100,53,0.84,RU,1739002920
22,port alfred,-33.5906,26.891,25.66,80,0,3.58,ZA,1739002921
23,puerto baquerizo moreno,-0.9,-89.6,24.48,83,66,2.77,EC,1739002628
24,kirakira,-10.4544,161.9205,27.31,83,79,2.56,SB,1739002923
25,hadibu,12.65,54.0333,25.23,59,0,3.27,YE,1739002924
26,kargasok,59.0556,80.8572,-6.15,89,100,7.79,RU,1739002926
27,dhuusamarreeb,5.535,46.3861,30.48,36,75,5.41,SO,1739002927
28,queenstown,-31.8976,26.8753,27.92,47,0,7.42,ZA,1739002928
29,maputo,-25.9653,32.5892,29.74,54,0,2.4,MZ,1739002929
30,bethel,41.3712,-73.414,-4.64,62,100,0.89,US,1739002930
31,kiffa,16.6166,-11.4045,15.63,22,0,5.77,MR,1739002932
32,grytviken,-54.2811,-36.5092,2.32,83,96,6.78,GS,1739002933
